Funkfrequenzen
Station;Frequenz
Notfrequenz;121.500
Neustadt Tower;123.255
Neustadt West Radio;130.150
Neustadt Ost Radio;122.650
Police Radio;125.135
Segelflug Quatsch;123.430 / 123.425
Wien Information Ost;118.525 (9:00 – 21:00/ECET)
Wien Information Nord;134.625
Wien Information Süd;124.400
Wien Radar;134.675 / 130.075
Graz Radar;119.300
Graz Turm;118.200
Zeltweg Radar;129.480 (132.655) MHz
Zeltweg Tower;135.380 (118.705) MHz
Zeltweg Flugplatz;123.505
Klagenfurt Tower;118.100
Klagenfurt Radar;123.325
Salzburg Radar;123.725
Innsbruck Radar;128.975 (CTA Arlberg Ost) 12500ft bis FL165
Innsbruck Tower;120.100
Innsbruck ATIS;126.030 +43 5 17036631
Linz Radar;125.685
Aigen Radar;118.005
Alps Radar;119.225 (CTA Arlberg West) ab 15500ft
Langen Information;119.825 / 129.875
Samedan;135.325
Arcus M – Geschwindigkeiten
Bezeichnung;km/h
VROT (Abheben);85
VY (beste Steigrate);95
VT (F-Schlepp);110 – 120
VT (braun, 850 daN);max. 180
VA (Manövergeschw.);180
VNE (never exceed);280
VFE (max. Klappen);180
VLO (max. Gear Speed);180
VX (ger. Sinken / max. Weite);110 – 120
VPO (Prop. operation);90 – 120
VAPP (Anflug);105
Arcus M – Gewichte
Position;Wert
Leergewicht;576 kg
Kraftstoff (16 / 29 L);11,5 / 20,8 kg
Gepäckfach;max. 2 kg
Pilot vorne;70 – 115 kg
Pilot hinten;max. 115 kg
Zuladung;max. 285 kg
MTOW;800 kg (51 kg/m²)
Flächenbelastung (1 PIC);43 kg/m²
Flächenbelastung (2 PIC);49 kg/m²
Arcus M – Kraftstoff
Typ;Angabe
Super bleifrei;≥ ROZ 95
AVGAS;100 LL
Tankvolumen;16 L + 28,9 L (Flügel)
Verbrauch Reise;24,5 L/h
Zweitakt-Mischung;1:50 (0,4 L Öl / 20 L)
Öl;Castrol ACT>EVO / Super Two Stroke
Spezifikation;JASO FC oder FD
LX 9000 – Tasten
Aktion;Bedienung
Aus;I/O > 4 sec
Lautstärke;● oben links
Mode:● oben rechts
Zoom;● unten links
Seiten:● unten rechts
Vario/SC umschalten;Knüppeltaste
MC/Ballast;● Taste rechts unten → MC/BAL
QNH anpassen;Setup → QNH → SELECT
Nearest Airport;● Near Airport
Position Report;● Flugplatzliste → REPORT
Waypoint speichern;● MARK
Vario/Hawk;Setup → Audio → Vario/Hawk wählen
Funkgerät Becker – Tasten
Taste;Funktion
1x kurz;Standard
2x kurz;Direkt Eingabe
3x kurz;Kanalwahl
Lang;Pilots Menü (Helligkeit, SQL)
FRQ-Knopf lang;25 / 8,33 kHz umschalten
FRQ-Knopf kurz;speichern
MDE/STO kurz;FRQ wechseln
MDE/STO lang;Scan Mode
SQL kurz;Squelch on/off
SQL lang;Intercom (IC VOL, IC VOX)
FRQ-Drehknopf;Drücken + drehen
Transponder
Taste:Funktion
I/O;Ein 0.5s/Aus 3s
MODE;ACS, A-S, Standby
